"REGION","NE_TYPE","NE","NODE_ID","DEPT","TEAM","VENDOR","NETWORK"
"MB","GGSN-SPGW","EPG_SSR_GBT01E","EPG_SSR_GBT01E","NOC MB","Tổ Quản lý mạng lõi","ERICSSON","PS_CORE"
"MB","GGSN-SPGW","EPG_SSR_YHA01E","EPG_SSR_YHA01E","NOC MB","Tổ Quản lý mạng lõi","ERICSSON","PS_CORE"
"MB","SGSN-MME","MMEMKXYHA01E","MMEMKXYHA01E","NOC MB","Tổ Quản lý mạng lõi","ERICSSON","PS_CORE"
"MB","SGSN-MME","MMEMKXGBT01E","MMEMKXGBT01E","NOC MB","Tổ Quản lý mạng lõi","ERICSSON","PS_CORE"
"MB","SGSN-MME","MME_ATGBT1N","399201","NOC MB","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
"MB","SGSN-MME","MME_ATYHA1N","399333","NOC MB","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
"MB","SGSN-MME","MME_ATYHA2N","399338","NOC MB","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
"MB","GGSN","GG_FINGYHA01N","GG_FINGYHA01N","NOC MB","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
"MB","SGSN","SG_DXYHA01N","396889","NOC MB","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
"MB","GGSN","GG_FINGGBT01N","GG_FINGGBT01N","NOC MB","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
"MB","GGSN","GG_FISNGBT01N","444","NOC MB","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
"MB","GGSN-SPGW","EPG_MGYHA01N","EPG_MGYHA01N","NOC MB","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
"MB","GGSN-SPGW","EPG_MGGBT01N ","EPG_MGGBT01N ","NOC MB","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
"MN","SGSN","SG_DXHBT01N","228085","NOC MN","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
"MN","SGSN","SG_DXCTO01N","396886","NOC MN","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
"MN","SGSN-MME","MME_ATC303N","399337","NOC MN","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
"MN","SGSN-MME","MME_ATQ091N","399336","NOC MN","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
"MN","SGSN-MME","MME_ATQ092N","399204","NOC MN","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
"MN","SGSN-MME","MME_ATQ094N","403756","NOC MN","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
"MN","SGSN-MME","MMEMKXC3001E","MMEMKXC3001E","NOC MN","Tổ Quản lý mạng lõi","ERICSSON","PS_CORE"
"MN","SGSN-MME","MMEMKXQ0901E","MMEMKXQ0901E","NOC MN","Tổ Quản lý mạng lõi","ERICSSON","PS_CORE"
"MN","SGSN-MME","MME_ATC301N","390175","NOC MN","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
"MN","SGSN-MME","MME_ATC302N","399335","NOC MN","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
"MN","SGSN","SG_DXCTO02N","228095","NOC MN","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
"MN","SGSN","SG_DXC3001N","228096","NOC MN","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
"MN","SGSN","SG_DXQ201N","228091","NOC MN","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
"MN","SGSN","SG_DXDNI01N","396888","NOC MN","Tổ Quản lý mạng lõi","NOKIA SIEMENS","PS_CORE"
