"BSCID","VENDOR","REGION","LAUNCH_DATE","MSCID","TEAM","DEPT","SUB_TEAM","NE_GROUP","LOCATION_NAME","SMS_CSSR","SMS_DRC","NSEI","ACTIVE_DATE","PROVINCE","NE_TYPE"
"RCTNK1N","NOKIA SIEMENS","MN",,"","TVT An Giang","ĐVT Cần Thơ","TVT An Giang","","Châu Đốc",,,"",,"An Giang","RNC"
"RCTNK2N","NOKIA SIEMENS","MN",,"","TVT An Giang","ĐVT Cần Thơ","TVT An Giang","","Châu Đốc",,,"",,"An Giang","RNC"
"RVTVT2N","NOKIA SIEMENS","MN",,"","TVT Vũng Tàu","ĐVT Đồng Nai","TVT Vũng Tàu","","Tp. Vũng Tàu",,,"",,"Bà Rịa Vũng Tàu","RNC"
"RVTVT3N","NOKIA SIEMENS","MN",,"","TVT Vũng Tàu","ĐVT Đồng Nai","TVT Vũng Tàu","","Tp. Vũng Tàu",,,"",,"Bà Rịa Vũng Tàu","RNC"
"RVTVT1N","NOKIA SIEMENS","MN",,"","TVT Vũng Tàu","ĐVT Đồng Nai","TVT Vũng Tàu","","Tp. Vũng Tàu",,,"",,"Bà Rịa Vũng Tàu","RNC"
"iHNCG1H","HUAWEI","MB",,"","TVT2","ĐVT Hà Nội 2","TVT2","","Cầu Giấy",,,"",,"Hà Nội","RNC"
"RHNHM3E","ERICSSON","MB",,"","TVT1","ĐVT Hà Nội 2","TVT1","","Hoàng Mai",,,"",,"Hà Nội","RNC"
"RBLBL1Z","ZTE","MN",,"","TVT Bạc Liêu","ĐVT Cần Thơ","TVT Bạc Liêu","","Bạc Liêu",,,"",,"Bạc Liêu","RNC"
"RBLBL2Z","ZTE","MN",,"","TVT Bạc Liêu","ĐVT Cần Thơ","TVT Bạc Liêu","","Bạc Liêu",,,"",,"Bạc Liêu","RNC"
"RTGMT1N","NOKIA SIEMENS","MN",,"","TVT Bến Tre","ĐVT Tiền Giang","TVT Bến Tre","","Bến Tre",,,"",,"Bến Tre","RNC"
"RTGMT2N","NOKIA SIEMENS","MN",,"","TVT Bến Tre","ĐVT Tiền Giang","TVT Bến Tre","","Bến Tre",,,"",,"Bến Tre","RNC"
"RBDQN2N","NOKIA SIEMENS","MT",,"","TVT Bình Định","ĐVT Bình Định","TVT Bình Định","","Qui Nhơn",,,"",,"Bình Định","RNC"
"RBDQN1N","NOKIA SIEMENS","MT",,"","TVT Bình Định","ĐVT Bình Định","TVT Bình Định","","Qui Nhơn",,,"",,"Bình Định","RNC"
"RBDTM1N","NOKIA SIEMENS","MN",,"","TVT Bình Dương","ĐVT Bình Dương","TVT Bình Dương","","TX. Thủ Dầu Một",,,"",,"Bình Dương","RNC"
"RBDTM2N","NOKIA SIEMENS","MN",,"","TVT Bình Dương","ĐVT Bình Dương","TVT Bình Dương","","TX. Thủ Dầu Một",,,"",,"Bình Dương","RNC"
"RBDTM3N","NOKIA SIEMENS","MN",,"","TVT Bình Dương","ĐVT Bình Dương","TVT Bình Dương","","TX. Thủ Dầu Một",,,"",,"Bình Dương","RNC"
"RBPDX1N","NOKIA SIEMENS","MN",,"","TVT Bình Phước","ĐVT Bình Dương","TVT Bình Phước","","TX. Bình Long",,,"",,"Bình Phước","RNC"
"RBTPT1E","ERICSSON","MN",,"","TVT Bình Thuận","ĐVT Đồng Nai","TVT Bình Thuận","","Tp. Phan Thiết",,,"",,"Bình Thuận","RNC"
"RCMCM2Z","ZTE","MN",,"","TVT Cà Mau","ĐVT Cần Thơ","TVT Cà Mau","","Cà Mau",,,"",,"Cà Mau","RNC"
"RCMCM1Z","ZTE","MN",,"","TVT Cà Mau","ĐVT Cần Thơ","TVT Cà Mau","","Cà Mau",,,"",,"Cà Mau","RNC"
"RCTNK5N","NOKIA SIEMENS","MN",,"","TVT Cần Thơ","ĐVT Cần Thơ","TVT Cần Thơ","","Ninh Kiều",,,"",,"Cần Thơ","RNC"
"RCTNK11N","NOKIA SIEMENS","MN",,"","TVT Cần Thơ","ĐVT Cần Thơ","TVT Cần Thơ","","Ninh Kiều",,,"",,"Cần Thơ","RNC"
"RCTNK8N","NOKIA SIEMENS","MN",,"","TVT Cần Thơ","ĐVT Cần Thơ","TVT Cần Thơ","","Ninh Kiều",,,"",,"Cần Thơ","RNC"
"RHNCG3E","ERICSSON","MB",,"","TVT1","ĐVT Hà Nội 1","TVT1","","Cầu Giấy",,,"",,"Hà Nội","RNC"
"RDNST10N","NOKIA SIEMENS","MT",,"","TVT Đà Nẵng 1","ĐVT Đà Nẵng","TVT Đà Nẵng 1","","Sơn Trà",,,"",,"Đà Nẵng","RNC"
"RDNAD6N","NOKIA SIEMENS","MT",,"","TVT Đà Nẵng 1","ĐVT Đà Nẵng","TVT Đà Nẵng 1","","Hải Châu",,,"",,"Đà Nẵng","RNC"
"RDNAD7N","NOKIA SIEMENS","MT",,"","TVT Đà Nẵng 1","ĐVT Đà Nẵng","TVT Đà Nẵng 1","","Hải Châu",,,"",,"Đà Nẵng","RNC"
"RDNAD9N","NOKIA SIEMENS","MT",,"","TVT Đà Nẵng 1","ĐVT Đà Nẵng","TVT Đà Nẵng 1","","Hải Châu",,,"",,"Đà Nẵng","RNC"
"RDNTK5N","NOKIA SIEMENS","MT",,"","TVT Đà Nẵng 2","ĐVT Đà Nẵng","TVT Đà Nẵng 2","","Thanh Khê",,,"",,"Đà Nẵng","RNC"
"RDNST3N","NOKIA SIEMENS","MT",,"","TVT Đà Nẵng 2","ĐVT Đà Nẵng","TVT Đà Nẵng 2","","Sơn Trà",,,"",,"Đà Nẵng","RNC"
"RDNST6N","NOKIA SIEMENS","MT",,"","TVT Đà Nẵng 2","ĐVT Đà Nẵng","TVT Đà Nẵng 2","","Sơn Trà",,,"",,"Đà Nẵng","RNC"
"RDNST5N","NOKIA SIEMENS","MT",,"","TVT DakLak","ĐVT Daklak","TVT DakLak","","Sơn Trà",,,"",,"Đắc Lắc","RNC"
"RDNST8N","NOKIA SIEMENS","MT",,"","TVT DakNong","ĐVT Daklak","TVT DakNong","","Gia Nghĩa",,,"",,"Đắc Nông","RNC"
"RDLBT1N","NOKIA SIEMENS","MT",,"","TVT DakNong","ĐVT Daklak","TVT DakNong","","Gia Nghĩa",,,"",,"Đắc Nông","RNC"
"RDNBH3N","NOKIA SIEMENS","MN",,"","TVT Biên Hòa","ĐVT Đồng Nai","TVT Biên Hòa","","Tp. Biên Hòa",,,"",,"Đồng Nai","RNC"
"RDNBH2N","NOKIA SIEMENS","MN",,"","TVT Biên Hòa","ĐVT Đồng Nai","TVT Biên Hòa","","Tp. Biên Hòa",,,"",,"Đồng Nai","RNC"
"RDNBH5N","NOKIA SIEMENS","MN",,"","TVT Biên Hòa","ĐVT Đồng Nai","TVT Biên Hòa","","Tp. Biên Hòa",,,"",,"Đồng Nai","RNC"
"RDNBH1N","NOKIA SIEMENS","MN",,"","TVT Long Khánh","ĐVT Đồng Nai","TVT Long Khánh","","Tp. Biên Hòa",,,"",,"Đồng Nai","RNC"
"RDNBH4E","ERICSSON","MN",,"","TVT Long Khánh","ĐVT Đồng Nai","TVT Long Khánh","","Tp. Biên Hòa",,,"",,"Đồng Nai","RNC"
"RCTNK10N","NOKIA SIEMENS","MN",,"","TVT Đồng Tháp","ĐVT Tiền Giang","TVT Đồng Tháp","","TP Cao Lãnh",,,"",,"Đồng Tháp","RNC"
"RDNTK4N","NOKIA SIEMENS","MT",,"","TVT Gia Lai","ĐVT Daklak","TVT Gia Lai","","Pleiku",,,"",,"Gia Lai","RNC"
"RGLPK1N","NOKIA SIEMENS","MT",,"","TVT Gia Lai","ĐVT Daklak","TVT Gia Lai","","Pleiku",,,"",,"Gia Lai","RNC"
"RKHNT1N","NOKIA SIEMENS","MT",,"","TVT Khánh Hòa","ĐVT Bình Định","TVT Khánh Hòa","","Pleiku",,,"",,"Gia Lai","RNC"
