"BSCID","VENDOR","REGION","TRAU","TRX","MSCID","LAUNCH_DATE","TEAM","DEPT","SUB_TEAM","NE_GROUP","LOCATION_NAME","SMS_CSSR","SMS_DRC","NSEI","ACTIVE_DATE","PROVINCE","LONGITUDE","LATITUDE","NE_TYPE"
"MBNAVI1H","HUAWEI","MB",,,"",,"TVT Nghệ An","ĐVT Nghệ An","TVT Nghệ An","","Vinh",,,"",,"Nghệ An","","","BSC"
"MBNAVI2H","HUAWEI","MB",,,"",,"TVT Nghệ An","ĐVT Nghệ An","TVT Nghệ An","","Vinh",,,"",,"Nghệ An","","","BSC"
"MBTHTH1H","HUAWEI","MB",,,"",,"TVT Thanh Hóa","ĐVT Nghệ An","TVT Thanh Hóa","","Vinh",,,"",,"Nghệ An","","","BSC"
"BSG081E","ERICSSON","MN",,,"",,"TVT 5","ĐVT Tây","TVT 5","","Q.8",,,"",,"Hồ Chí Minh","","","BSC"
"BSGCC1N","NOKIA SIEMENS","MN",,,"",,"TVT 6","ĐVT Tây","TVT 6","","H.Củ Chi",,,"",,"Hồ Chí Minh","","","BSC"
"BSGTB3E","ERICSSON","MN",,,"",,"TVT 7","ĐVT Tây","TVT 7","","Q.Tân Bình",,,"",,"Hồ Chí Minh","","","BSC"
"BSGTB1E","ERICSSON","MN",,,"",,"TVT 7","ĐVT Tây","TVT 7","","Q.Tân Bình",,,"",,"Hồ Chí Minh","","","BSC"
"BSG121N","NOKIA SIEMENS","MN",,,"",,"TVT 7","ĐVT Tây","TVT 7","","Q.12",,,"",,"Hồ Chí Minh","","","BSC"
"BSGBT1E","ERICSSON","MN",,,"",,"TVT 8","ĐVT Tây","TVT 8","","Q.Bình Tân",,,"",,"Hồ Chí Minh","","","BSC"
"BSGTP2E","ERICSSON","MN",,,"",,"TVT 8","ĐVT Tây","TVT 8","","Q.Tân Phú",,,"",,"Hồ Chí Minh","","","BSC"
"BSGTP1E","ERICSSON","MN",,,"",,"TVT 8","ĐVT Tây","TVT 8","","Q.Tân Phú",,,"",,"Hồ Chí Minh","","","BSC"
"BSGBI3E","ERICSSON","MN",,,"",,"TVT 8","ĐVT Tây","TVT 8","","Q.Binh Thạnh",,,"",,"Hồ Chí Minh","","","BSC"
"BSGBI2E","ERICSSON","MN",,,"",,"TVT 8","ĐVT Tây","TVT 8","","Q.Binh Thạnh",,,"",,"Hồ Chí Minh","","","BSC"
"BSGBI1E","ERICSSON","MN",,,"",,"TVT 8","ĐVT Tây","TVT 8","","Q.Binh Thạnh",,,"",,"Hồ Chí Minh","","","BSC"
"BSG061E","ERICSSON","MN",,,"",,"TVT 8","ĐVT Tây","TVT 8","","Q.6",,,"",,"Hồ Chí Minh","","","BSC"
"BSGBT2E","ERICSSON","MN",,,"",,"TVT 8","ĐVT Tây","TVT 8","","Q.Bình Tân",,,"",,"Hồ Chí Minh","","","BSC"
"BHNCG1E","ERICSSON","MB",,,"",,"TVT2","ĐVT Hà Nội 1","TVT2","","Cầu Giấy",,,"",,"Hà Nội","","","BSC"
"BHUE04H","HUAWEI","MT",,,"",,"TVT Huế","ĐVT Đà Nẵng","TVT Huế","","Huế",,,"",,"Huế","","","BSC"
"BHUE03E","ERICSSON","MT",,,"",,"TVT Huế","ĐVT Đà Nẵng","TVT Huế","","Huế",,,"",,"Huế","","","BSC"
"BHUE05H","HUAWEI","MT",,,"",,"TVT Huế","ĐVT Đà Nẵng","TVT Huế","","Huế",,,"",,"Huế","","","BSC"
"BHUE02H","HUAWEI","MT",,,"",,"TVT Huế","ĐVT Đà Nẵng","TVT Huế","","Huế",,,"",,"Huế","","","BSC"
"BHUE01H","HUAWEI","MT",,,"",,"TVT Huế","ĐVT Đà Nẵng","TVT Huế","","Huế",,,"",,"Huế","","","BSC"
"iHNHM3H","HUAWEI","MB",,,"",,"TVT3","ĐVT Hà Nội 1","TVT3","","Hoàng Mai",,,"",,"Hà Nội","","","BSC"
"BHNHM1E","ERICSSON","MB",,,"",,"TVT2","ĐVT Hà Nội 1","TVT2","","Hoàng Mai",,,"",,"Hà Nội","","","BSC"
