"OBJECTNAME","RNCNAME","RNCDESCRIPTION","WBTSNAME","BTSADDITIONALINFO","CELLNAME","CID","LAC","RAC","SAC","PRISCRCODE","UARFCN","URAID","RNCID","WBTSID","WCELID","OMCNAME","DATEADDED","BTSNAMEALT"
"PLMN-PLMN/RNC-225/WBTS-3451/WCEL-8","RSG092N","","HTD052","","HTD052H","","","","","","","","225","3451","8","",01-DEC-22 09:03:54,""
"PLMN-PLMN/RNC-341/WBTS-800/WCEL-3","RDNCL1N","","QNMD21","","QNMD21C","","","","","","","","341","800","3","",06-AUG-23 00:00:00,""
"PLMN-PLMN/RNC-341/WBTS-801/WCEL-3","RDNCL1N","","QNDP57","","QNDP57C","","","","","","","","341","801","3","",06-AUG-23 00:00:00,""
"PLMN-PLMN/RNC-604/WBTS-13/WCEL-5","RDNBH5N","","DNLT32","","DNLT32E","","","","","","","","604","13","5","",18-OCT-22 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-401/WCEL-7","RBDTM1N","","BDBB00","","BDBB00G","","","","","","","","63","401","7","",25-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-604/WBTS-123/WCEL-6","RDNBH5N","","DNLT18","","DNLT18F","","","","","","","","604","123","6","",25-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-604/WBTS-405/WCEL-4","RDNBH5N","","DNLK00","","DNLK00D","","","","","","","","604","405","4","",18-OCT-22 00:00:00,""
"PLMN-PLMN/RNC-605/WBTS-166/WCEL-6","RVTVT3N","","VUXM13","","VUXM13F","","","","","","","","605","166","6","",18-OCT-22 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-675/WCEL-8","RBDTM1N","","BDBB08","","BDBB08H","","","","","","","","63","675","8","",25-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-166/WCEL-4","RBDTM1N","","BDBB09","","BDBB09D","","","","","","","","63","166","4","",25-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-696/WCEL-5","RBDTM1N","","BDBB10","","BDBB10E","","","","","","","","63","696","5","",25-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-696/WCEL-6","RBDTM1N","","BDBB10","","BDBB10F","","","","","","","","63","696","6","",25-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-167/WCEL-7","RBDTM1N","","BDBB11","","BDBB11G","","","","","","","","63","167","7","",10-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-167/WCEL-9","RBDTM1N","","BDBB11","","BDBB11I","","","","","","","","63","167","9","",10-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-605/WBTS-161/WCEL-2","RVTVT3N","","VUXM07","","VUXM07B","","","","","","","","605","161","2","",18-OCT-22 00:00:00,""
"PLMN-PLMN/RNC-71/WBTS-529/WCEL-6","RDNBH3N","","DNBH3E","","DNBH3EF","","","","","","","","71","529","6","",18-OCT-22 00:00:00,""
"PLMN-PLMN/RNC-225/WBTS-132/WCEL-6","RSG092N","","HCC133","","HCC133F","","","","","","","","225","132","6","",05-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-608/WBTS-892/WCEL-7","RBDTM4N","","BDDA29","","BDDA29G","","","","","","","","608","892","7","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-226/WBTS-238/WCEL-4","RSG094N","","H09200","","H09200W","","","","","","","","226","238","4","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-608/WBTS-119/WCEL-7","RBDTM4N","","BDDA31","","BDDA31G","","","","","","","","608","119","7","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-608/WBTS-119/WCEL-8","RBDTM4N","","BDDA31","","BDDA31H","","","","","","","","608","119","8","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-608/WBTS-119/WCEL-9","RBDTM4N","","BDDA31","","BDDA31I","","","","","","","","608","119","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-226/WBTS-651/WCEL-4","RSG094N","","HTD274","","HTD274D","","","","","","","","226","651","4","",05-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-224/WBTS-381/WCEL-6","RSG091N","","H12081","","H12081F","","","","","","","","224","381","6","",04-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-224/WBTS-380/WCEL-6","RSG091N","","H12080","","H12080F","","","","","","","","224","380","6","",04-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-224/WBTS-417/WCEL-5","RSG091N","","H12120","","H12120E","","","","","","","","224","417","5","",04-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-608/WBTS-121/WCEL-9","RBDTM4N","","BDDA36","","BDDA36I","","","","","","","","608","121","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-333/WBTS-498/WCEL-1","RDNCL5N","","DNCL55","","DNCL55A","","","","","","","","333","498","1","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-225/WBTS-3484/WCEL-8","RSG092N","","HTD085","","HTD085H","","","","","","","","225","3484","8","",01-DEC-22 09:03:54,""
"PLMN-PLMN/RNC-225/WBTS-3427/WCEL-8","RSG092N","","HTD028","","HTD028H","","","","","","","","225","3427","8","",01-DEC-22 09:03:55,""
"PLMN-PLMN/RNC-225/WBTS-3651/WCEL-9","RSG092N","","HTD274","","HTD274I","","","","","","","","225","3651","9","",01-DEC-22 09:02:09,""
"PLMN-PLMN/RNC-337/WBTS-450/WCEL-2","RDNCL7N","","KHCL35","","KHCL35B","","","","","","","","337","450","2","",08-JAN-24 00:00:00,""
