"CELL_NODE_ID","VENDOR","NODEID","CELLID","NODENAME","CELLNAME","DATEADDED","OBJECTNAME"
"","NOKIA SIEMENS","102385","12","HN_LBN_THACH_CAU","HN_LBN_THACH_CAU_M4BB",03-AUG-22 00:00:00,"PLMN-PLMN/MRBTS-102385/LNBTS-102385/LNCEL-12"
"","NOKIA SIEMENS","150506","13","QAQS40","QAQS40M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-150506/LNBTS-150506/LNCEL-13"
"","NOKIA SIEMENS","150501","11","QAQS13","QAQS13M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-150501/LNBTS-150501/LNCEL-11"
"","NOKIA SIEMENS","521270","11","VULD19","VULD19M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-521270/LNBTS-521270/LNCEL-11"
"","NOKIA SIEMENS","130281","13","BDHA12","BDHA12M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-130281/LNBTS-130281/LNCEL-13"
"","NOKIA SIEMENS","594919","13","NTPR18","NTPR18M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-594919/LNBTS-594919/LNCEL-13"
"","NOKIA SIEMENS","390678","11","QHMC02","QHMC02M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-390678/LNBTS-390678/LNCEL-11"
"","NOKIA SIEMENS","115120","13","HGV019","HGV019M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-115120/LNBTS-115120/LNCEL-13"
"","NOKIA SIEMENS","546636","12","BPDA73","BPDA73M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-546636/LNBTS-546636/LNCEL-12"
"","NOKIA SIEMENS","101446","18","HHI013","HHI013I4BK",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-101446/LNBTS-101446/LNCEL-18"
"","NOKIA SIEMENS","586233","12","LATH12","LATH12M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-586233/LNBTS-586233/LNCEL-12"
"","NOKIA SIEMENS","130285","11","BDHN21","BDHN21M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-130285/LNBTS-130285/LNCEL-11"
"","NOKIA SIEMENS","180320","11","HUPL87","HUPL87M4BA",04-JAN-22 00:00:00,"PLMN-PLMN/MRBTS-180320/LNBTS-180320/LNCEL-11"
"","NOKIA SIEMENS","574243","13","LDBL40","LDBL40M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-574243/LNBTS-574243/LNCEL-13"
"","NOKIA SIEMENS","140114","13","PYPY43","PYPY43M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-140114/LNBTS-140114/LNCEL-13"
"","NOKIA SIEMENS","180083","13","HUPL53","HUPL53M4BC",23-DEC-21 00:00:00,"PLMN-PLMN/MRBTS-180083/LNBTS-180083/LNCEL-13"
"","NOKIA SIEMENS","490172","16","GLCU09","GLCU09M4CC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-490172/LNBTS-490172/LNCEL-16"
"","NOKIA SIEMENS","531881","17","BDDA30","BDDA30M4CA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-531881/LNBTS-531881/LNCEL-17"
"","NOKIA SIEMENS","563141","12","DNNT38","DNNT38C4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-563141/LNBTS-563141/LNCEL-12"
"","NOKIA SIEMENS","180286","12","HUPD17","HUPD17M4BB",13-DEC-21 00:00:00,"PLMN-PLMN/MRBTS-180286/LNBTS-180286/LNCEL-12"
"","NOKIA SIEMENS","390177","12","QHDT39","QHDT39M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-390177/LNBTS-390177/LNCEL-12"
"","NOKIA SIEMENS","115163","11","HGV062","HGV062M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-115163/LNBTS-115163/LNCEL-11"
"","NOKIA SIEMENS","390631","13","QHHL9E","QHHL9EM4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-390631/LNBTS-390631/LNCEL-13"
"","NOKIA SIEMENS","500244","12","KHCR47","KHCR47M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-500244/LNBTS-500244/LNCEL-12"
