"REGION","CODE","PROVINCE","MARKS","DISTRICT","LOCATION","BRANCH","DISTRICT_NAME","ID","DEPT","TEAM","GROUPS","LENGTH_CODE"
"MT","HUQD","Thành phố Huế","","Quảng Điền","","","",2124,"ĐVT Đà Nẵng","TVT Huế","ĐVT Đà Nẵng",4
"MT","MBF_HUND","Thành phố Huế","","Nam Đông","","","",2125,"ĐVT Đà Nẵng","TVT Huế","ĐVT Đà Nẵng",8
"MT","MBF_HUHU","Thành phố Huế","","Huế","","","",2126,"ĐVT Đà Nẵng","TVT Huế","ĐVT Đà Nẵng",8
"MT","MBF_HUHT","Thành phố Huế","","Hương Thủy","","","",2127,"ĐVT Đà Nẵng","TVT Huế","ĐVT Đà Nẵng",8
"MT","MBF_HUHA","Thành phố Huế","","Hương Trà","","","",2128,"ĐVT Đà Nẵng","TVT Huế","ĐVT Đà Nẵng",8
"MT","HUHU","Thành phố Huế","","Huế","","","",2130,"ĐVT Đà Nẵng","TVT Huế","ĐVT Đà Nẵng",4
"MT","HUHT","Thành phố Huế","","Hương Thủy","","","",2131,"ĐVT Đà Nẵng","TVT Huế","ĐVT Đà Nẵng",4
"MT","HUHA","Thành phố Huế","","Hương Trà","","","",2132,"ĐVT Đà Nẵng","TVT Huế","ĐVT Đà Nẵng",4
"MT","MBF_HUQD","Thành phố Huế","","Quảng Điền","","","",2133,"ĐVT Đà Nẵng","TVT Huế","ĐVT Đà Nẵng",8
"MT","HUND","Thành phố Huế","","Nam Đông","","","",2134,"ĐVT Đà Nẵng","TVT Huế","ĐVT Đà Nẵng",4
"MT","HUAL","Thành phố Huế","","A Lưới","","","",2135,"ĐVT Đà Nẵng","TVT Huế","ĐVT Đà Nẵng",4
"MB","HGG_HGG","Tỉnh Tuyên Quang","","Hà Giang","","","",2137,"ĐVT Thái Nguyên","TVT Hà Giang","ĐVT Thái Nguyên",7
"MB","HGG_QBH","Tỉnh Tuyên Quang","","Quang Bình","","","",2138,"ĐVT Thái Nguyên","TVT Hà Giang","ĐVT Thái Nguyên",7
"MB","MBF_HGG_VXN","Tỉnh Tuyên Quang","","Vị Xuyên","","","",2139,"ĐVT Thái Nguyên","TVT Hà Giang","ĐVT Thái Nguyên",11
"MB","MBF_HGG_QBH","Tỉnh Tuyên Quang","","Quang Bình","","","",2140,"ĐVT Thái Nguyên","TVT Hà Giang","ĐVT Thái Nguyên",11
"MB","MBF_HGG_QBA","Tỉnh Tuyên Quang","","Quản Bạ","","","",2141,"ĐVT Thái Nguyên","TVT Hà Giang","ĐVT Thái Nguyên",11
"MB","MBF_HGG_MVC","Tỉnh Tuyên Quang","","Mèo Vạc","","","",2142,"ĐVT Thái Nguyên","TVT Hà Giang","ĐVT Thái Nguyên",11
"MB","MBF_HGG_HSI","Tỉnh Tuyên Quang","","Hoàng Su Phì","","","",2143,"ĐVT Thái Nguyên","TVT Hà Giang","ĐVT Thái Nguyên",11
"MB","MBF_HGG_HGG","Tỉnh Tuyên Quang","","Hà Giang","","","",2144,"ĐVT Thái Nguyên","TVT Hà Giang","ĐVT Thái Nguyên",11
"MB","MBF_HGG_DVN","Tỉnh Tuyên Quang","","Đồng Văn","","","",2145,"ĐVT Thái Nguyên","TVT Hà Giang","ĐVT Thái Nguyên",11
"MB","MBF_HGG_BME","Tỉnh Tuyên Quang","","Bắc Mê","","","",2147,"ĐVT Thái Nguyên","TVT Hà Giang","ĐVT Thái Nguyên",11
"MB","HGG_HSI","Tỉnh Tuyên Quang","","Hoàng Su Phì","","","",2148,"ĐVT Thái Nguyên","TVT Hà Giang","ĐVT Thái Nguyên",7
"MB","HGG_QBA","Tỉnh Tuyên Quang","","Quản Bạ","","","",2149,"ĐVT Thái Nguyên","TVT Hà Giang","ĐVT Thái Nguyên",7
"MB","HGG_XMN","Tỉnh Tuyên Quang","","Xín Mần","","","",2150,"ĐVT Thái Nguyên","TVT Hà Giang","ĐVT Thái Nguyên",7
"MB","HGG_MVC","Tỉnh Tuyên Quang","","Mèo Vạc","","","",2151,"ĐVT Thái Nguyên","TVT Hà Giang","ĐVT Thái Nguyên",7
"MB","HGG_VXN","Tỉnh Tuyên Quang","","Vị Xuyên","","","",2152,"ĐVT Thái Nguyên","TVT Hà Giang","ĐVT Thái Nguyên",7
"MB","HGG_DVN","Tỉnh Tuyên Quang","","Đồng Văn","","","",2153,"ĐVT Thái Nguyên","TVT Hà Giang","ĐVT Thái Nguyên",7
"MB","HGG_YMH","Tỉnh Tuyên Quang","","Yên Minh","","","",2154,"ĐVT Thái Nguyên","TVT Hà Giang","ĐVT Thái Nguyên",7
"MB","HGG_BME","Tỉnh Tuyên Quang","","Bắc Mê","","","",2155,"ĐVT Thái Nguyên","TVT Hà Giang","ĐVT Thái Nguyên",7
"MB","HGG_BQG","Tỉnh Tuyên Quang","","Bắc Quang","","","",2156,"ĐVT Thái Nguyên","TVT Hà Giang","ĐVT Thái Nguyên",7
"MB","HM_LNN","Tỉnh Ninh Bình","","Lý Nhân","","","",2158,"ĐVT Nam Định","TVT Hà Nam","ĐVT Nam Định",6
"MB","HM_BLC","Tỉnh Ninh Bình","","Bình Lục","","","",2159,"ĐVT Nam Định","TVT Hà Nam","ĐVT Nam Định",6
"MB","HM_KBG","Tỉnh Ninh Bình","","Kim Bảng","","","",2160,"ĐVT Nam Định","TVT Hà Nam","ĐVT Nam Định",6
"MB","HM_DTN","Tỉnh Ninh Bình","","Duy Tiên","","","",2161,"ĐVT Nam Định","TVT Hà Nam","ĐVT Nam Định",6
"MB","HM_PLY","Tỉnh Ninh Bình","","Phủ Lý","","","",2162,"ĐVT Nam Định","TVT Hà Nam","ĐVT Nam Định",6
"MB","HM_TLM","Tỉnh Ninh Bình","","Thanh Liêm","","","",2163,"ĐVT Nam Định","TVT Hà Nam","ĐVT Nam Định",6
"MB","MBF_HM_TLM","Tỉnh Ninh Bình","","Thanh Liêm","","","",2164,"ĐVT Nam Định","TVT Hà Nam","ĐVT Nam Định",10
"MB","MBF_HM_LNN","Tỉnh Ninh Bình","","Lý Nhân","","","",2165,"ĐVT Nam Định","TVT Hà Nam","ĐVT Nam Định",10
"MB","MBF_HM_KBG","Tỉnh Ninh Bình","","Kim Bảng","","","",2166,"ĐVT Nam Định","TVT Hà Nam","ĐVT Nam Định",10
"MB","MBF_HM_BLC","Tỉnh Ninh Bình","","Bình Lục","","","",2168,"ĐVT Nam Định","TVT Hà Nam","ĐVT Nam Định",10
"MB","MBF_HM_PLY","Tỉnh Ninh Bình","","Phủ Lý","","","",2169,"ĐVT Nam Định","TVT Hà Nam","ĐVT Nam Định",10
"MB","MBF_HUG","Thành phố Hà Nội","","Ứng Hòa","","","",2170,"ĐVT Hà Nội 2","TVT2","ĐVT Hà Nội 2",10
"MB","MBF_HCMC","Thành phố Hà Nội","","Chương Mỹ","","","",2171,"ĐVT Hà Nội 2","TVT2","ĐVT Hà Nội 2",8
"MB","MBF_HCY","Thành phố Hà Nội","","Cầu Giấy","","","",2172,"ĐVT Hà Nội 1","TVT1","ĐVT Hà Nội 1",7
"MB","MBF_HDD","Thành phố Hà Nội","","Đống Đa","","","",2173,"ĐVT Hà Nội 1","TVT2","ĐVT Hà Nội 1",7
"MB","MBF_HHB","Thành phố Hà Nội","","Hai Bà Trưng","","","",2174,"ĐVT Hà Nội 1","TVT2","ĐVT Hà Nội 1",7
"MB","MBF_HHD","Thành phố Hà Nội","","Hà Đông","","","",2176,"ĐVT Hà Nội 2","TVT2","ĐVT Hà Nội 2",7
"MB","MBF_HHI","Thành phố Hà Nội","","Hoàng Mai","","","",2177,"ĐVT Hà Nội 2","TVT1","ĐVT Hà Nội 2",7
"MB","MBF_HHK","Thành phố Hà Nội","","Hoàn Kiếm","","","",2178,"ĐVT Hà Nội 1","TVT2","ĐVT Hà Nội 1",7
"MB","MBF_HLB","Thành phố Hà Nội","","Long Biên","","","",2179,"ĐVT Hà Nội 1","TVT3","ĐVT Hà Nội 1",7
"MB","MBF_HNT","Thành phố Hà Nội","","Nam Từ Liêm","","","",2180,"ĐVT Hà Nội 1","TVT1","ĐVT Hà Nội 1",7
"MB","MBF_HN_BDH","Thành phố Hà Nội","","Ba Đình","","","",2181,"ĐVT Hà Nội 1","TVT2","ĐVT Hà Nội 1",10
"MB","MBF_HN_CGY","Thành phố Hà Nội","","Cầu Giấy","","","",2183,"ĐVT Hà Nội 1","TVT1","ĐVT Hà Nội 1",10
"MB","MBF_HN_DAH","Thành phố Hà Nội","","Đông Anh","","","",2184,"ĐVT Hà Nội 1","TVT3","ĐVT Hà Nội 1",10
"MB","MBF_HN_DDA","Thành phố Hà Nội","","Đống Đa","","","",2185,"ĐVT Hà Nội 1","TVT2","ĐVT Hà Nội 1",10
"MB","MBF_HN_GLM","Thành phố Hà Nội","","Gia Lâm","","","",2186,"ĐVT Hà Nội 1","TVT3","ĐVT Hà Nội 1",10
"MB","MBF_HN_HBT","Thành phố Hà Nội","","Hai Bà Trưng","","","",2187,"ĐVT Hà Nội 1","TVT2","ĐVT Hà Nội 1",10
"MB","MBF_HN_HDC","Thành phố Hà Nội","","Hoài Đức","","","",2188,"ĐVT Hà Nội 2","TVT3","ĐVT Hà Nội 2",10
"MB","MBF_HN_HMI","Thành phố Hà Nội","","Hoàng Mai","","","",2190,"ĐVT Hà Nội 2","TVT1","ĐVT Hà Nội 2",10
"MB","MBF_HN_LBN","Thành phố Hà Nội","","Long Biên","","","",2191,"ĐVT Hà Nội 1","TVT3","ĐVT Hà Nội 1",10
"MB","MBF_HN_NTL","Thành phố Hà Nội","","Nam Từ Liêm","","","",2192,"ĐVT Hà Nội 1","TVT1","ĐVT Hà Nội 1",10
"MB","MBF_HN_SSN","Thành phố Hà Nội","","Sóc Sơn","","","",2193,"ĐVT Hà Nội 1","TVT3","ĐVT Hà Nội 1",10
"MB","MBF_HN_THO","Thành phố Hà Nội","","Tây Hồ","","","",2194,"ĐVT Hà Nội 1","TVT1","ĐVT Hà Nội 1",10
"MB","MBF_HN_TLM","Thành phố Hà Nội","","Từ Liêm","","","",2195,"ĐVT Hà Nội 1","TVT1","ĐVT Hà Nội 1",10
"MB","MBF_HN_TXN","Thành phố Hà Nội","","Thanh Xuân","","","",2197,"ĐVT Hà Nội 2","TVT1","ĐVT Hà Nội 2",10
"MB","MBF_HPX","Thành phố Hà Nội","","Phú Xuyên","","","",2198,"ĐVT Hà Nội 2","TVT2","ĐVT Hà Nội 2",10
"MB","MBF_HTH","Thành phố Hà Nội","","Tây Hồ","","","",2199,"ĐVT Hà Nội 1","TVT1","ĐVT Hà Nội 1",7
"MB","MBF_HTI","Thành phố Hà Nội","","Thanh Trì","","","",2200,"ĐVT Hà Nội 2","TVT1","ĐVT Hà Nội 2",7
"MB","MBF_HTN","Thành phố Hà Nội","","Thường Tín","","","",2201,"ĐVT Hà Nội 2","TVT2","ĐVT Hà Nội 2",7
"MB","MBF_HTO","Thành phố Hà Nội","","Thanh Oai","","","",2202,"ĐVT Hà Nội 2","TVT2","ĐVT Hà Nội 2",7
"MB","H2_MDC","Thành phố Hà Nội","","Mỹ Đức","","","",2204,"ĐVT Hà Nội 2","TVT2","ĐVT Hà Nội 2",6
"MB","HPX","Thành phố Hà Nội","","Phú Xuyên","","","",2205,"ĐVT Hà Nội 2","TVT2","ĐVT Hà Nội 2",6
"MB","HUG","Thành phố Hà Nội","","Ứng Hòa","","","",2206,"ĐVT Hà Nội 2","TVT2","ĐVT Hà Nội 2",6
"MB","MBF_H2_BVI","Thành phố Hà Nội","","Ba Vì","","","",2207,"ĐVT Hà Nội 2","TVT3","ĐVT Hà Nội 2",10
"MB","MBF_H2_CMY","Thành phố Hà Nội","","Chương Mỹ","","","",2208,"ĐVT Hà Nội 2","TVT2","ĐVT Hà Nội 2",10
"MB","MBF_H2_DPG","Thành phố Hà Nội","","Đan Phượng","","","",2209,"ĐVT Hà Nội 2","TVT3","ĐVT Hà Nội 2",10
"ALL","1111","ALL/UNALL","","","","","",1801,"","","",4
"MN","AGCD","Tỉnh An Giang","","Châu Đốc","","","",1802,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",4
"MN","AGCP","Tỉnh An Giang","","Châu Phú","","","",1803,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",4
"MN","AGCT","Tỉnh An Giang","","Châu Thành","","","",1804,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",4
"MN","AGCM","Tỉnh An Giang","","Chợ Mới","","","",1805,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",4
"MN","AGLX","Tỉnh An Giang","","Long Xuyên","","","",1806,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",4
"MN","MBF_AGAP","Tỉnh An Giang","","An Phú","","","",1807,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",8
"MN","MBF_AGCD","Tỉnh An Giang","","Châu Đốc","","","",1808,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",8
